run       : eixo1_resnet50_s1
arch      : resnet50 (pretrained=True)  seed=1
manifesto : v2 ed5c1eb749ec9e72...  mask=None
fit/val/test: 175,591 / 19,511 / 83,613 imgs  (11,805 / 2,268 / 6,044 sujeitos)
batch 96 | steps/epoch 1,829 | epochs 30 | warmup 2 ep | early stop patience off
val 1/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 1/30: train 0.3938/0.8915 | val loss 0.0341 acc 0.9901 f1 0.9901 err 0.9892% * | 171s 1027 img/s
val 2/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 2/30: train 0.0292/0.9915 | val loss 0.0376 acc 0.9892 f1 0.9892 err 1.0814%  | 163s 1079 img/s
val 3/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 3/30: train 0.0210/0.9939 | val loss 0.0232 acc 0.9935 f1 0.9935 err 0.6509% * | 166s 1059 img/s
val 4/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 4/30: train 0.0153/0.9955 | val loss 0.0207 acc 0.9945 f1 0.9945 err 0.5535% * | 164s 1072 img/s
val 5/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 5/30: train 0.0138/0.9960 | val loss 0.0221 acc 0.9938 f1 0.9938 err 0.6150%  | 162s 1083 img/s
val 6/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 6/30: train 0.0125/0.9964 | val loss 0.0251 acc 0.9931 f1 0.9931 err 0.6919%  | 167s 1054 img/s
val 7/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 7/30: train 0.0105/0.9970 | val loss 0.0256 acc 0.9927 f1 0.9927 err 0.7278%  | 171s 1028 img/s
val 8/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 8/30: train 0.0108/0.9968 | val loss 0.0199 acc 0.9942 f1 0.9942 err 0.5792%  | 169s 1040 img/s
val 9/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 9/30: train 0.0088/0.9975 | val loss 0.0192 acc 0.9946 f1 0.9946 err 0.5433% * | 170s 1035 img/s
val 10/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 10/30: train 0.0085/0.9975 | val loss 0.0181 acc 0.9949 f1 0.9949 err 0.5125% * | 164s 1068 img/s
val 11/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 11/30: train 0.0086/0.9976 | val loss 0.0180 acc 0.9953 f1 0.9954 err 0.4664% * | 166s 1058 img/s
val 12/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 12/30: train 0.0082/0.9976 | val loss 0.0184 acc 0.9943 f1 0.9943 err 0.5689%  | 166s 1057 img/s
val 13/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 13/30: train 0.0071/0.9980 | val loss 0.0168 acc 0.9958 f1 0.9958 err 0.4203% * | 165s 1062 img/s
val 14/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 14/30: train 0.0050/0.9986 | val loss 0.0154 acc 0.9961 f1 0.9961 err 0.3946% * | 161s 1093 img/s
val 15/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 15/30: train 0.0044/0.9988 | val loss 0.0173 acc 0.9959 f1 0.9959 err 0.4100%  | 160s 1094 img/s
val 16/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 16/30: train 0.0047/0.9987 | val loss 0.0136 acc 0.9965 f1 0.9965 err 0.3485% * | 160s 1094 img/s
val 17/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 17/30: train 0.0032/0.9992 | val loss 0.0150 acc 0.9967 f1 0.9967 err 0.3331% * | 160s 1095 img/s
val 18/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 18/30: train 0.0031/0.9991 | val loss 0.0159 acc 0.9960 f1 0.9960 err 0.3998%  | 161s 1088 img/s
val 19/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 19/30: train 0.0031/0.9992 | val loss 0.0125 acc 0.9967 f1 0.9967 err 0.3331%  | 165s 1066 img/s
val 20/30:   0%|          | 0/102 [00:00<?, ?it/s]
epoca 20/30: train 0.0022/0.9994 | val loss 0.0153 acc 0.9968 f1 0.9968 err 0.3178% * | 164s 1070 img/s
