test_image,train_image,hamming,test_label,train_label,same_label,test_user,train_user,mad
data/processed/test/four/115c9e2c-3649-4564-822c-3fff2eac6837.jpg,data/processed/train/stop_inverted/d1def8d2-ef2b-40ec-bcdd-a0caf8a7bb9f.jpg,0,four,stop_inverted,False,b86e8df8edf4,0611a034d10b,130.3837890625
data/processed/test/four/26934176-7490-42db-908f-1a911fd79703.jpg,data/processed/train/four/10dffeb9-d1ef-4387-b605-c3a41abb8a5f.jpg,0,four,four,True,fcb424bc5be2,fb07cc4fbccd,36.53515625
data/processed/test/four/26934176-7490-42db-908f-1a911fd79703.jpg,data/processed/train/one/e684cb44-034a-4f14-af29-a19906e554e4.jpg,0,four,one,False,fcb424bc5be2,cbeb1a9565b0,34.5712890625
data/processed/test/four/859b1318-7f02-4205-b2c8-5e2789b6c82d.jpg,data/processed/train/four/fca7c464-70c8-4df4-91a6-0e633d68ac90.jpg,0,four,four,True,6556a7d6ad8c,2f7a11777bee,13.2626953125
data/processed/test/four/ab780b7f-f33e-4d95-b168-b28e4778a48a.jpg,data/processed/train/stop/83ecc656-4475-4724-b19f-dd29a71eb23a.jpg,0,four,stop,False,b59ea225648c,f31c57e2cbbc,36.181640625
data/processed/test/four/ae107624-5034-4fe9-a5d5-3e423b09cc3b.jpg,data/processed/train/palm/6f00c31c-674c-4e32-a60f-5efd0a70eb39.jpg,0,four,palm,False,216bf9c35128,a86d59222e8c,21.2978515625
data/processed/test/four/ae107624-5034-4fe9-a5d5-3e423b09cc3b.jpg,data/processed/train/rock/dfa85d00-09ef-40ef-95e6-54561d3b5384.jpg,0,four,rock,False,216bf9c35128,f3a716ab878c,60.7900390625
data/processed/test/four/aff54e5e-6844-4419-b1e1-c7a86bf82d34.jpg,data/processed/train/stop_inverted/a96a9c90-1d58-4dcb-9a18-379e98920022.jpg,0,four,stop_inverted,False,6f881d29e400,8bf991664ed2,54.66015625
data/processed/test/four/be52abbe-6e5a-4d6c-8ecf-93a0cfecdc7f.jpg,data/processed/train/one/6295a7dd-437f-4026-aa7e-ab7e7904bf3b.jpg,0,four,one,False,a91237dd75ee,b239ed20c166,51.7548828125
data/processed/test/four/c0e4de30-253a-4080-8bed-ff97b49e2ab3.jpg,data/processed/train/one/0b12b0c8-5a8f-4dc2-ab06-3594a0951150.jpg,0,four,one,False,d5b4f83ae289,09b13d001b8e,28.89453125
data/processed/test/four/c0e4de30-253a-4080-8bed-ff97b49e2ab3.jpg,data/processed/train/one/aaf2f64e-7469-4438-9427-1015b5159b95.jpg,0,four,one,False,d5b4f83ae289,c38c3ec739e2,42.6748046875
data/processed/test/four/caea0cdb-24d0-4738-b95e-82a3f92d0ad1.jpg,data/processed/train/four/36733c7b-d257-4bef-b72f-962194b14329.jpg,0,four,four,True,e852914ee674,42d76a373c78,0.9931640625
data/processed/test/four/caea0cdb-24d0-4738-b95e-82a3f92d0ad1.jpg,data/processed/train/four/d88654ce-59d6-401f-a779-d0115f10abe5.jpg,0,four,four,True,e852914ee674,f11781ac43b7,2.1591796875
data/processed/test/like/3610bf7e-f659-4d66-889c-d44c9e8d11f2.jpg,data/processed/train/like/a99c250d-1499-4999-b595-99f8b9e15c56.jpg,0,like,like,True,a7f742b73c78,bc741c77b49a,4.2822265625
data/processed/test/like/3610bf7e-f659-4d66-889c-d44c9e8d11f2.jpg,data/processed/train/like/e29ff91d-dd4c-4232-8137-898bcdfa13cc.jpg,0,like,like,True,a7f742b73c78,bc741c77b49a,4.703125
data/processed/test/mute/848e87e5-3b6d-482c-903f-d3e4a1d9aa94.jpg,data/processed/train/mute/14d0f1ef-2eeb-4350-b9ad-df746e0011e3.jpg,0,mute,mute,True,a046f7e80b25,f11781ac43b7,3.2578125
data/processed/test/mute/ab75f445-d7b1-4ad9-9a40-b2f90a702e17.jpg,data/processed/train/mute/4f02f4a4-b899-4701-b6b5-e3c379b0bb98.jpg,0,mute,mute,True,719b4c446fda,e1923c17e735,58.6884765625
data/processed/test/mute/ab75f445-d7b1-4ad9-9a40-b2f90a702e17.jpg,data/processed/train/peace/32124d1e-87fe-4ad6-9eaa-b4372e270e4e.jpg,0,mute,peace,False,719b4c446fda,d1d5b6ed11e0,103.1650390625
data/processed/test/ok/0cef5ea7-3c55-4f8f-aabb-1d0ef1a533a5.jpg,data/processed/train/ok/a9ca1178-ee8a-44d0-8ad9-2120b200b536.jpg,0,ok,ok,True,94ce15fdb64b,5d672cc41a57,0.865234375
data/processed/test/ok/0cef5ea7-3c55-4f8f-aabb-1d0ef1a533a5.jpg,data/processed/train/ok/c52b7ad8-23c2-43cc-93fc-8fe10596a896.jpg,0,ok,ok,True,94ce15fdb64b,7815040c47cb,0.716796875
data/processed/test/ok/1d31eaff-5112-423e-bca8-e3cdbcf0484b.jpg,data/processed/train/ok/a9ca1178-ee8a-44d0-8ad9-2120b200b536.jpg,0,ok,ok,True,94ce15fdb64b,5d672cc41a57,1.203125
data/processed/test/ok/1d31eaff-5112-423e-bca8-e3cdbcf0484b.jpg,data/processed/train/ok/c52b7ad8-23c2-43cc-93fc-8fe10596a896.jpg,0,ok,ok,True,94ce15fdb64b,7815040c47cb,0.615234375
data/processed/test/ok/cf7c7c69-92eb-41e3-80a9-85f51ede9f1f.jpg,data/processed/train/ok/3c8a4be3-bee8-4d76-851b-ccbc176e4d26.jpg,0,ok,ok,True,94ce15fdb64b,f25730116eb8,0.2685546875
data/processed/test/ok/ec7ea44e-142e-4276-8c58-172cd701716a.jpg,data/processed/train/ok/b4dbf7be-14b5-4b66-874d-54f133c6c768.jpg,0,ok,ok,True,94ce15fdb64b,e080c4550f21,1.3701171875
data/processed/test/ok/ec7ea44e-142e-4276-8c58-172cd701716a.jpg,data/processed/train/ok/2b652c3c-8534-4eab-8dd9-b26b7f4e5a5b.jpg,0,ok,ok,True,94ce15fdb64b,e23665198179,0.66015625
